LSA,District,Latitude,Longitude,Site Type
Haryana,Ambala,30.36273,76.76873,RTT
Haryana,Ambala,30.36391,76.79001,RTP
Haryana,Ambala,30.38486,76.75925,RTP
Haryana,Ambala,30.36388,76.77544,COW(GBT)
Haryana,Ambala,30.36316,76.79902,RTP
Haryana,Ambala,30.38611,76.78761,RTP
Haryana,Ambala,30.36699,76.87461,RTP
Haryana,Ambala,30.34244,76.84814,RTT
Haryana,Ambala,30.33726,76.86223,RTP
Haryana,Ambala,30.37518,76.77416,COW(GBT)
Haryana,Ambala,30.37118,76.80347,RTT
Haryana,Ambala,30.39116,76.76577,RTT
Haryana,Ambala,30.35305,76.79754,RTP
Haryana,Ambala,30.36248,76.79317,GBM
Haryana,Ambala,30.35979,76.78511,RTT
Haryana,Ambala,30.38801,76.79602,RTP
Haryana,Ambala,30.33646,76.8332,RTP
Haryana,Ambala,30.28654,76.84992,GBM
Haryana,Ambala,30.20218,77.06526,COW(GBT)
Haryana,Ambala,30.20008,76.87492,COW(GBT)
Haryana,Ambala,30.31339,76.91171,RTP
Haryana,Ambala,30.44135,77.00834,GBT
Haryana,Ambala,30.42707,77.12437,GBM
Haryana,Ambala,30.42703,76.92105,GBT
Haryana,Ambala,30.31548,76.84147,RTT
Haryana,Ambala,30.29219,76.96996,GBT
Haryana,Ambala,30.28577,76.97501,RTT
Haryana,Ambala,30.341996,76.838191,LPBTS
Haryana,Ambala,30.37062,76.78605,LPBTS
Haryana,Ambala,30.33725,76.86224,LPBTS
Haryana,Ambala,30.39051,76.79437,LPBTS
Haryana,Ambala,30.34001,76.86572,LPBTS
Haryana,Ambala,30.33907,76.83438,LPBTS
Haryana,Ambala,30.34898,77.03084,LPBTS
Haryana,Ambala,30.36149,76.78113,LPBTS
Haryana,Ambala,30.31559,76.84163,LPBTS
Haryana,Ambala,30.40409,76.73564,LPBTS
Haryana,Ambala,30.40263,76.83526,LPBTS
Haryana,Ambala,30.13942,77.24088,RTP
Haryana,Ambala,30.32418,76.85516,RTT
Haryana,Ambala,30.36355,76.76134,RTT
Haryana,Ambala,30.36048,76.78671,RTT
Haryana,Ambala,30.25002,76.85016,GBT
Haryana,Ambala,30.37765,76.79442,RTP
Haryana,Ambala,30.36139,76.86751,RTT
Haryana,Ambala,30.36703,76.79442,GBT
Haryana,Ambala,30.33603,76.82494,COW(GBT)
Haryana,Ambala,30.32655,77.16758,GBT
Haryana,Ambala,30.47409,77.13502,RTT
Haryana,Ambala,30.44798,77.03497,GBT
Haryana,Ambala,30.20478,77.03642,GBT
Haryana,Ambala,30.36224,76.76086,GBT
Haryana,Ambala,30.38161,76.79182,RTT
Haryana,Ambala,30.37209,76.76204,RTP
Haryana,Ambala,30.37664,76.86356,GBT
Haryana,Ambala,30.21777,77.03844,GBT
Haryana,Ambala,30.21324,76.89651,GBT
Haryana,Ambala,30.53735,77.08831,GBT
Haryana,Ambala,30.33596,76.84143,RTT
Haryana,Ambala,30.33694,76.88013,GBT
Haryana,Ambala,30.32046,76.72631,GBT
Haryana,Ambala,30.21191,77.03623,GBT
Haryana,Ambala,30.07467,76.98227,GBT
Haryana,Ambala,30.28442,77.49871,GBT
Haryana,Ambala,30.03392,77.14958,GBT
Haryana,Ambala,30.27381,77.04552,GBT
Haryana,Ambala,30.79792,76.91481,GBT
Haryana,Ambala,30.48536,77.12994,GBT
Haryana,Ambala,30.11761,77.28145,GBT
Haryana,Ambala,30.22721,77.14613,GBT
Haryana,Ambala,30.29956,76.96495,GBT
Haryana,Ambala,30.37464,76.76918,GBT
Haryana,Ambala,30.32699,76.85985,GBT
Haryana,Ambala,30.26396,76.85612,GBT
Haryana,Ambala,30.44845,77.03073,GBT
Haryana,Ambala,30.30211,76.83981,GBT
Haryana,Ambala,30.38036,76.85898,GBT
Haryana,Ambala,30.35479,76.87703,GBT
Haryana,Ambala,30.23838,76.70369,GBT
Haryana,Ambala,30.21926,77.04503,GBT
Haryana,Ambala,30.06653,76.84175,GBT
Haryana,Ambala,30.12738,76.85539,GBT
Haryana,Ambala,30.18601,77.03609,GBT
Haryana,Ambala,29.95829,77.20355,GBT
Haryana,Ambala,29.90351,76.86832,GBT
Haryana,Ambala,29.94678,76.90851,GBT
Haryana,Ambala,30.23544,76.90547,GBT
Haryana,Ambala,30.27863,76.87827,GBT
Haryana,Ambala,30.44329,76.93308,GBT
Haryana,Ambala,30.31299,76.93482,GBT
Haryana,Ambala,30.27344,77.22951,GBT
Haryana,Ambala,30.51649,77.10625,GBT
Haryana,Ambala,30.08145,77.33586,GBT
Haryana,Ambala,30.29264,77.11306,GBT
Haryana,Ambala,30.34215,77.29066,GBT
Haryana,Ambala,30.25361,76.57235,GBT
Haryana,Ambala,29.92559,76.69404,GBT
Haryana,Ambala,30.17513,76.66507,GBT
Haryana,Ambala,30.41729,77.15633,GBT
Haryana,Ambala,30.36931,76.95416,GBT
Haryana,Ambala,30.23173,76.98189,GBT
Haryana,Ambala,30.41188,77.08088,GBT
Haryana,Ambala,30.44201,76.98096,GBT
Haryana,Ambala,30.27718,76.78756,GBT
Haryana,Ambala,30.11024,76.61918,GBT
Haryana,Ambala,30.28013,76.65388,GBT
Haryana,Ambala,30.00291,77.12197,GBT
Haryana,Ambala,30.31396,76.77222,GBT
Haryana,Ambala,30.22347,76.94292,GBT
Haryana,Ambala,30.33612,77.33237,GBT
Haryana,Ambala,30.49645,77.06535,GBT
Haryana,Ambala,30.30412,77.01381,GBT
Haryana,Ambala,30.48244,76.91511,GBT
Haryana,Ambala,30.38117,77.11015,GBT
Haryana,Ambala,30.34048,77.12189,GBT
Haryana,Ambala,30.36272,76.92548,GBT
Haryana,Ambala,30.41451,77.11767,GBT
Haryana,Ambala,30.33217,77.01359,GBT
Haryana,Ambala,30.17586,77.08926,GBT
Haryana,Ambala,30.27415,76.92341,GBT
Haryana,Ambala,30.39709,76.96552,GBT
Haryana,Ambala,30.31821,77.13982,GBT
Haryana,Ambala,30.31336,77.16473,GBT
Haryana,Ambala,30.04665,77.09782,GBT
Haryana,Ambala,30.47132,76.94338,GBT
Haryana,Ambala,30.34398,76.97679,GBT
Haryana,Ambala,30.45955,77.11887,GBT
Haryana,Ambala,30.30688,76.80321,GBT
Haryana,Ambala,30.00126,76.72855,GBT
Haryana,Ambala,30.12914,77.29008,RTP
Haryana,Ambala,30.13181,77.26579,RTP
Haryana,Ambala,30.38556,76.79807,RTP
Haryana,Ambala,30.38131,76.79119,RTT
Haryana,Ambala,30.35661,76.78275,RTP
Haryana,Ambala,30.33878,76.82782,RTP
Haryana,Ambala,30.38323,76.76876,RTT
Haryana,Ambala,30.34548,76.79895,RTT
