,LSA,District,Latitude,Longitude,Site Type
1,Delhi,Faridabad,28.40555,77.31369,RTT
2,Delhi,Faridabad,28.37383,77.35571,RTP
3,Delhi,Faridabad,28.34133,77.19565,RTP
4,Delhi,Faridabad,28.31311,77.37009,RTP
5,Delhi,Faridabad,28.42522,77.34144,GBM
6,Delhi,Faridabad,28.33198,77.20968,RTP
7,Delhi,Faridabad,28.38982,77.36067,RTP
8,Delhi,Faridabad,28.27895,77.28822,GBM
9,Delhi,Faridabad,28.45053,77.28352,RTP
10,Delhi,Faridabad,28.50117,77.34006,RTP
11,Delhi,Faridabad,28.42011,77.34608,RTP
12,Delhi,Faridabad,28.41146,77.35629,GBM
13,Delhi,Faridabad,28.41711,77.36765,GBM
14,Delhi,Faridabad,28.41352,77.3467,GBM
15,Delhi,Faridabad,28.44251,77.33032,GBM
16,Delhi,Faridabad,28.41679,77.34044,RTP
17,Delhi,Faridabad,28.48027,77.32948,RTP
18,Delhi,Faridabad,28.37575,77.33846,RTP
19,Delhi,Faridabad,28.37972,77.33725,COW(GBT)
20,Delhi,Faridabad,28.41952,77.32356,RTP
21,Delhi,Faridabad,28.37329,77.28434,RTP
22,Delhi,Faridabad,28.3515,77.29707,RTP
23,Delhi,Faridabad,28.33822,77.19657,GBM
24,Delhi,Faridabad,28.39858,77.22834,GBM
25,Delhi,Faridabad,28.38037,77.27999,RTP
26,Delhi,Faridabad,28.38644,77.27508,RTP
27,Delhi,Faridabad,28.40791,77.28033,RTP
28,Delhi,Faridabad,28.34034,77.32594,RTP
29,Delhi,Faridabad,28.34898,77.29582,RTP
30,Delhi,Faridabad,28.4772,77.32096,RTP
31,Delhi,Faridabad,28.48078,77.34428,RTP
32,Delhi,Faridabad,28.40788,77.341,RTP
33,Delhi,Faridabad,28.32429,77.25584,GBM
34,Delhi,Faridabad,28.40447,77.25451,RTP
35,Delhi,Faridabad,28.23316,77.39537,GBM
36,Delhi,Faridabad,28.29244,77.36016,GBM
37,Delhi,Faridabad,28.32958,77.31652,RTP
38,Delhi,Faridabad,28.3485,77.26933,RTP
39,Delhi,Faridabad,28.37792,77.28017,RTP
40,Delhi,Faridabad,28.47988,77.28839,COW(GBT)
41,Delhi,Faridabad,28.34487,77.32481,RTP
42,Delhi,Faridabad,28.36993,77.27001,RTP
43,Delhi,Faridabad,28.32678,77.30266,RTP
44,Delhi,Faridabad,28.63598,77.221,RTP
45,Delhi,Faridabad,28.39475,77.32019,RTP
46,Delhi,Faridabad,28.33744,77.33031,RTP
47,Delhi,Faridabad,28.47226,77.32442,RTP
48,Delhi,Faridabad,28.33624,77.30521,RTP
49,Delhi,Faridabad,28.42476,77.32789,RTP
50,Delhi,Faridabad,28.42538,77.33177,GBM
51,Delhi,Faridabad,28.32777,77.33384,GBM
52,Delhi,Faridabad,28.48898,77.29139,GBM
53,Delhi,Faridabad,28.37681,77.28515,RTP
54,Delhi,Faridabad,28.47471,77.32372,RTP
55,Delhi,Faridabad,28.44379,77.29864,RTP
56,Delhi,Faridabad,28.45252,77.31792,RTP
57,Delhi,Faridabad,28.36208,77.29022,RTP
58,Delhi,Faridabad,28.49129,77.32825,RTP
59,Delhi,Faridabad,28.40986,77.33681,RTP
60,Delhi,Faridabad,28.36179,77.34775,GBM
61,Delhi,Faridabad,28.38083,77.27106,RTP
62,Delhi,Faridabad,28.33738,77.33426,RTP
63,Delhi,Faridabad,28.42078,77.32853,RTP
64,Delhi,Faridabad,28.41554,77.30743,RTP
65,Delhi,Faridabad,28.38061,77.27635,RTP
66,Delhi,Faridabad,28.34452,77.33677,RTP
67,Delhi,Faridabad,28.48668,77.33495,RTP
68,Delhi,Faridabad,28.32774,77.30592,RTP
69,Delhi,Faridabad,28.27776,77.32965,GBM
70,Delhi,Faridabad,28.41078,77.41042,RTP
71,Delhi,Faridabad,28.36314,77.27227,RTP
72,Delhi,Faridabad,28.39426,77.31586,RTP
73,Delhi,Faridabad,28.46694,77.27394,GBM
74,Delhi,Faridabad,28.51507,77.30783,RTP
75,Delhi,Faridabad,28.36493,77.18232,LPBTS
76,Delhi,Faridabad,28.42248,77.31652,LPBTS
77,Delhi,Faridabad,28.41377,77.31467,RTP
78,Delhi,Faridabad,28.42053,77.36588,GBM
79,Delhi,Faridabad,28.38368,77.32665,RTP
80,Delhi,Faridabad,28.38216,77.17741,RTP
81,Delhi,Faridabad,28.40852,77.21074,COW(GBT)
82,Delhi,Faridabad,28.36726,77.28563,RTP
83,Delhi,Faridabad,28.4882,77.3058,RTP
84,Delhi,Faridabad,28.48475,77.28671,COW(GBT)
85,Delhi,Faridabad,28.42024,77.35479,LPBTS
86,Delhi,Faridabad,28.34378,77.29184,RTP
87,Delhi,Faridabad,28.359067,77.281278,LPBTS
88,Delhi,Faridabad,28.356576,77.281301,LPBTS
89,Delhi,Faridabad,28.359536,77.287251,LPBTS
90,Delhi,Faridabad,28.36081,77.28787,LPBTS
91,Delhi,Faridabad,28.394851,77.317539,LPBTS
92,Delhi,Faridabad,28.395949,77.315647,LPBTS
93,Delhi,Faridabad,28.408462,77.286667,LPBTS
94,Delhi,Faridabad,28.387906,77.280886,LPBTS
95,Delhi,Faridabad,28.376395,77.28746,LPBTS
96,Delhi,Faridabad,28.42593,77.3,RTP
97,Delhi,Faridabad,28.44536,77.31557,RTP
98,Delhi,Faridabad,28.46921,77.30438,RTP
99,Delhi,Faridabad,28.43273,77.29073,RTP
100,Delhi,Faridabad,28.32095,77.30282,RTP
101,Delhi,Faridabad,28.38658,77.31705,RTP
102,Delhi,Faridabad,28.38838,77.33379,RTP
103,Delhi,Faridabad,28.45091,77.28719,RTP
104,Delhi,Faridabad,28.39508,77.35542,RTP
105,Delhi,Faridabad,28.42091,77.31126,RTP
106,Delhi,Faridabad,28.40612,77.33908,RTP
107,Delhi,Faridabad,28.31681,77.30907,RTP
108,Delhi,Faridabad,28.39749,77.27253,RTP
109,Delhi,Faridabad,28.35462,77.30873,GBM
110,Delhi,Faridabad,28.72261,77.17368,RTP
111,Delhi,Faridabad,28.36924,77.32281,RTP
112,Delhi,Faridabad,28.42507,77.31747,RTP
113,Delhi,Faridabad,28.41555,77.31864,RTP
114,Delhi,Faridabad,28.4156,77.31985,RTP
115,Delhi,Faridabad,28.36492,77.33396,RTP
116,Delhi,Faridabad,28.47496,77.29723,RTP
117,Delhi,Faridabad,28.45879,77.30605,RTP
118,Delhi,Faridabad,28.42906,77.15244,RTP
119,Delhi,Faridabad,28.38377,77.28091,RTP
120,Delhi,Faridabad,28.41274,77.29263,RTP
121,Delhi,Faridabad,28.35038,77.34008,RTP
122,Delhi,Faridabad,28.37971,77.28261,RTP
123,Delhi,Faridabad,28.36473,77.27869,RTP
124,Delhi,Faridabad,28.35408,77.28793,RTP
125,Delhi,Faridabad,28.34487,77.29687,RTP
126,Delhi,Faridabad,28.36782,77.33629,RTP
127,Delhi,Faridabad,28.42365,77.29702,RTP
128,Delhi,Faridabad,28.44338,77.32133,RTP
129,Delhi,Faridabad,28.41998,77.32034,RTP
130,Delhi,Faridabad,28.3854,77.30585,RTP
131,Delhi,Faridabad,28.43256,77.29221,RTP
132,Delhi,Faridabad,28.42588,77.32408,RTP
133,Delhi,Faridabad,28.37461,77.28848,RTP
134,Delhi,Faridabad,28.38756,77.3074,RTP
135,Delhi,Faridabad,28.32156,77.33321,RTP
136,Delhi,Faridabad,28.42979,77.29005,RTP
137,Delhi,Faridabad,28.35077,77.3402,RTP
138,Delhi,Faridabad,28.34015,77.32531,RTP
139,Delhi,Faridabad,28.35977,77.3232,RTP
140,Delhi,Faridabad,28.37978,77.28269,RTP
141,Delhi,Faridabad,28.34385,77.31751,RTP
142,Delhi,Faridabad,28.32761,77.31472,RTP
143,Delhi,Faridabad,28.42176,77.33581,RTP
144,Delhi,Faridabad,28.34833,77.28811,RTP
145,Delhi,Faridabad,28.42861,77.32662,RTP
146,Delhi,Faridabad,28.39107,77.30547,RTP
147,Delhi,Faridabad,28.35183,77.29527,RTP
148,Delhi,Faridabad,28.44213,77.3097,RTP
149,Delhi,Faridabad,28.41439,77.31554,RTP
150,Delhi,Faridabad,28.38116,77.2784,RTP
151,Delhi,Faridabad,28.47705,77.30933,RTP
152,Delhi,Faridabad,28.43958,77.3024,RTP
153,Delhi,Faridabad,28.47412,77.31017,RTP
154,Delhi,Faridabad,28.36472,77.27872,RTP
155,Delhi,Faridabad,28.41671,77.32521,RTP
156,Delhi,Faridabad,28.48669,77.3347,RTP
157,Delhi,Faridabad,28.40613,77.33913,RTP
158,Delhi,Faridabad,28.48972,77.2886,RTP
159,Delhi,Faridabad,28.39175,77.28531,RTP
160,Delhi,Faridabad,28.3447,77.33781,RTP
161,Delhi,Faridabad,28.35402,77.28831,RTP
162,Delhi,Faridabad,28.34352,77.31344,RTP
163,Delhi,Faridabad,28.38078,77.27105,RTP
164,Delhi,Faridabad,28.41553,77.30741,RTP
165,Delhi,Faridabad,28.3549,77.33997,RTP
166,Delhi,Faridabad,28.35123,77.33228,RTP
167,Delhi,Faridabad,28.33712,77.33302,RTP
168,Delhi,Faridabad,28.42277,77.30729,RTP
169,Delhi,Faridabad,28.42082,77.32872,RTP
170,Delhi,Faridabad,28.36029,77.31596,GBM
171,Delhi,Faridabad,28.34561,77.29179,RTP
172,Delhi,Faridabad,28.25434,77.29554,RTP
173,Delhi,Faridabad,28.33377,77.31631,RTP
174,Delhi,Faridabad,28.36245,77.31989,RTP
175,Delhi,Faridabad,28.37057,77.29688,RTP
176,Delhi,Faridabad,28.47698,77.32082,RTP
177,Delhi,Faridabad,28.34473,77.32336,RTP
178,Delhi,Faridabad,28.3806,77.29476,RTP
179,Delhi,Faridabad,28.44921,77.301,RTP
180,Delhi,Faridabad,28.4838,77.31875,RTP
181,Delhi,Faridabad,28.46733,77.32696,RTP
182,Delhi,Faridabad,28.37781,77.27872,RTP
183,Delhi,Faridabad,28.38145,77.28062,RTP
184,Delhi,Faridabad,28.34915,77.29527,RTP
185,Delhi,Faridabad,28.40727,77.30957,RTP
186,Delhi,Faridabad,28.37212,77.27848,RTP
187,Delhi,Faridabad,28.35933,77.33073,RTP
188,Delhi,Faridabad,28.32975,77.33172,RTP
189,Delhi,Faridabad,28.45234,77.31443,RTP
190,Delhi,Faridabad,28.36679,77.33169,RTP
191,Delhi,Faridabad,28.47991,77.28423,GBM
192,Delhi,Faridabad,28.40068,77.28934,RTP
193,Delhi,Faridabad,28.37289,77.28515,RTP
194,Delhi,Faridabad,28.40954,77.40268,RTP
195,Delhi,Faridabad,28.41229,77.41158,RTP
196,Delhi,Faridabad,28.32779,77.30643,RTP
197,Delhi,Faridabad,28.3442,77.31774,GBT
198,Delhi,Faridabad,28.22108,77.30252,RTP
199,Delhi,Faridabad,28.36645,77.30699,RTP
200,Delhi,Faridabad,28.49114,77.34097,RTP
201,Delhi,Faridabad,28.35285,77.33789,RTP
202,Delhi,Faridabad,28.47744,77.33533,RTP
203,Delhi,Faridabad,28.38005,77.2807,RTP
204,Delhi,Faridabad,28.44729,77.32794,RTP
205,Delhi,Faridabad,28.34992,77.39764,RTP
206,Delhi,Faridabad,28.34214,77.37568,GBT
207,Delhi,Faridabad,28.34917,77.27705,RTP
208,Delhi,Faridabad,28.47846,77.32285,GBT
209,Delhi,Faridabad,28.37627,77.33379,RTP
210,Delhi,Faridabad,28.34729,77.39698,RTP
211,Delhi,Faridabad,28.39223,77.30627,RTP
212,Delhi,Faridabad,28.41341,77.34667,GBT
213,Delhi,Faridabad,28.44125,77.29963,GBT
214,Delhi,Faridabad,28.33288,77.31944,GBT
215,Delhi,Faridabad,28.39658,77.31496,RTT
216,Delhi,Faridabad,28.38751,77.31965,RTT
217,Delhi,Faridabad,28.42559,77.33665,RTT
218,Delhi,Faridabad,28.3897,77.30264,RTT
219,Delhi,Faridabad,28.34704,77.30241,RTT
220,Delhi,Faridabad,28.30983,77.30374,RTT
221,Delhi,Faridabad,28.35549,77.29079,RTT
222,Delhi,Faridabad,28.39339,77.2887,RTT
223,Delhi,Faridabad,28.353401,77.273901,RTT
224,Delhi,Faridabad,28.38163,77.41209,GBM
225,Delhi,Faridabad,28.48587,77.32285,GBT
226,Delhi,Faridabad,28.42816,77.339901,GBM
227,Delhi,Faridabad,28.35732,77.31342,RTP
228,Delhi,Faridabad,28.49105,77.29652,RTT
229,Delhi,Faridabad,28.48749,77.31844,RTP
230,Delhi,Faridabad,28.39566,77.31139,RTP
231,Delhi,Faridabad,28.38891,77.30464,RTP
232,Delhi,Faridabad,28.34468,77.31698,RTP
233,Delhi,Faridabad,28.35323,77.22527,GBM
234,Delhi,Faridabad,28.27276,77.28857,RTP
235,Delhi,Faridabad,28.38301,77.29782,RTP
236,Delhi,Faridabad,28.36404,77.30967,RTP
237,Delhi,Faridabad,28.46513,77.30058,RTP
238,Delhi,Faridabad,28.47426,77.32149,RTP
239,Delhi,Faridabad,28.41437,77.39234,RTP
240,Delhi,Faridabad,28.37635,77.28238,RTP
241,Delhi,Faridabad,28.32841,77.29527,GBM
242,Delhi,Faridabad,28.47209,77.295501,RTT
243,Delhi,Faridabad,28.41298,77.35866,GBM
244,Delhi,Faridabad,28.31276,77.3331,RTP
245,Delhi,Faridabad,28.50206,77.34247,GBT
246,Delhi,Faridabad,28.34865,77.2916,RTT
247,Delhi,Faridabad,28.36091,77.26529,RTP
248,Delhi,Faridabad,28.47542,77.34042,GBT
249,Delhi,Faridabad,28.40614,77.41064,RTT
250,Delhi,Faridabad,28.35128,77.403101,GBT
251,Delhi,Faridabad,28.45124,77.33087,RTT
252,Delhi,Faridabad,28.41072,77.43273,GBT
253,Delhi,Faridabad,28.36719,77.28547,RTP
254,Delhi,Faridabad,28.33365,77.32508,RTP
255,Delhi,Faridabad,28.45038,77.31271,RTP
256,Delhi,Faridabad,28.47172,77.324001,RTP
257,Delhi,Faridabad,28.37868,77.24715,RTP
258,Delhi,Faridabad,28.35672,77.296,RTP
259,Delhi,Faridabad,28.35286,77.29739,RTT
260,Delhi,Faridabad,28.46684,77.32398,RTP
261,Delhi,Faridabad,28.48281,77.29521,RTT
262,Delhi,Faridabad,28.48246,77.33928,RTT
263,Delhi,Faridabad,28.35291,77.2916,RTT
264,Delhi,Faridabad,28.35021,77.42049,GBT
265,Delhi,Faridabad,28.4034,77.34589,GBT
266,Delhi,Faridabad,28.34196,77.32951,RTT
267,Delhi,Faridabad,28.42056,77.30791,RTP
268,Delhi,Faridabad,28.35736,77.27295,GBT
269,Delhi,Faridabad,28.477,77.30933,RTP
270,Delhi,Faridabad,28.33533,77.30177,RTP
271,Delhi,Faridabad,28.32332,77.31687,RTP
272,Delhi,Faridabad,28.40508,77.3677,GBT
273,Delhi,Faridabad,28.30729,77.30796,RTT
274,Delhi,Faridabad,28.41718,77.35783,GBT
275,Delhi,Faridabad,28.37862,77.31279,RTP
276,Delhi,Faridabad,28.37097,77.30667,RTT
277,Delhi,Faridabad,28.41862,77.29045,RTT
278,Delhi,Faridabad,28.42818,77.31975,RTP
279,Delhi,Faridabad,28.48568,77.30692,RTT
280,Delhi,Faridabad,28.44012,77.30212,RTP
281,Delhi,Faridabad,28.43163,77.35557,GBM
282,Delhi,Faridabad,28.34705,77.30237,RTT
283,Delhi,Faridabad,28.41504,77.32497,RTT
284,Delhi,Faridabad,28.4197,77.32652,RTT
285,Delhi,Faridabad,28.34434,77.33018,RTT
286,Delhi,Faridabad,28.40418,77.28777,RTT
287,Delhi,Faridabad,28.35145,77.33227,RTT
288,Delhi,Faridabad,28.34827,77.31111,GBT
289,Delhi,Faridabad,28.38158,77.29128,RTT
290,Delhi,Faridabad,28.47097,77.31076,RTT
291,Delhi,Faridabad,28.36167,77.29352,RTT
292,Delhi,Faridabad,28.42842,77.31685,RTT
293,Delhi,Faridabad,28.42273,77.31435,RTT
294,Delhi,Faridabad,28.3371,77.20825,GBM
295,Delhi,Faridabad,28.32275,77.2901,RTT
296,Delhi,Faridabad,28.32688,77.29638,RTT
297,Delhi,Faridabad,28.32762,77.31747,RTT
298,Delhi,Faridabad,28.36644,77.30692,RTP
299,Delhi,Faridabad,28.35289,77.33794,RTP
300,Delhi,Faridabad,28.47743,77.33535,RTP
301,Delhi,Faridabad,28.44735,77.32794,RTP
302,Delhi,Faridabad,28.41553,77.30736,RTP
303,Delhi,Faridabad,28.36241,77.31994,RTP
304,Delhi,Faridabad,28.37982,77.28264,RTP
305,Delhi,Faridabad,28.42173,77.33579,RTP
306,Delhi,Faridabad,28.34828,77.28814,RTP
307,Delhi,Faridabad,28.35179,77.29524,RTP
308,Delhi,Faridabad,28.38118,77.27843,RTP
309,Delhi,Faridabad,28.47413,77.31017,RTP
310,Delhi,Faridabad,28.36474,77.27866,RTP
311,Delhi,Faridabad,28.35395,77.28835,RTP
312,Delhi,Faridabad,28.34347,77.31335,RTP
313,Delhi,Faridabad,28.35489,77.33992,RTP
314,Delhi,Faridabad,28.38139,77.28062,RTP
315,Delhi,Faridabad,28.36243,77.31988,RTP
316,Delhi,Faridabad,28.30368,77.39114,GBT
317,Delhi,Faridabad,28.28794,77.3423,GBT
318,Delhi,Faridabad,28.34611,77.28625,GBT
319,Delhi,Faridabad,28.32636,77.31641,GBT
320,Delhi,Faridabad,28.48638,77.33971,GBT
321,Delhi,Faridabad,28.47947,77.31973,RTP
322,Delhi,Faridabad,28.35551,77.28447,RTT
323,Delhi,Faridabad,28.32207,77.31155,RTT
324,Delhi,Faridabad,28.46949,77.30446,RTT
325,Delhi,Faridabad,28.391701,77.29205,RTT
326,Delhi,Faridabad,28.34381,77.31856,RTT
327,Delhi,Faridabad,28.42822,77.32344,RTT
328,Delhi,Faridabad,28.50026,77.33642,RTT
329,Delhi,Faridabad,28.36959,77.33033,RTT
330,Delhi,Faridabad,28.40459,77.29287,RTT
331,Delhi,Faridabad,28.39897,77.28851,RTT
332,Delhi,Faridabad,28.37275,77.320101,RTT
333,Delhi,Faridabad,28.46949,77.30446,RTT
334,Delhi,Faridabad,28.35464,77.33526,COW(GBT)
335,Delhi,Faridabad,28.47221,77.29977,RTP
336,Delhi,Faridabad,28.48478,77.28672,COW(GBT)
337,Delhi,Faridabad,28.33406,77.31196,GBT
338,Delhi,Faridabad,28.33663,77.3336,GBT
339,Delhi,Faridabad,28.34611,77.28625,GBT
340,Delhi,Faridabad,28.41519,77.28916,RTT
341,Delhi,Faridabad,28.40808,77.29004,RTT
342,Delhi,Faridabad,28.42365,77.28739,RTT
343,Delhi,Faridabad,28.35891,77.28847,RTT
344,Delhi,Faridabad,28.48152,77.32388,RTT
345,Delhi,Faridabad,28.33237,77.32865,RTT
346,Delhi,Faridabad,28.44449,77.31897,RTT
347,Delhi,Faridabad,28.49114,77.34088,RTP
348,Delhi,Faridabad,28.39796,77.30583,RTT
349,Delhi,Faridabad,28.3812,77.32601,RTT
350,Delhi,Faridabad,28.47143,77.31065,RTT
351,Delhi,Faridabad,28.40396,77.29268,RTT
352,Delhi,Faridabad,28.46189,77.29862,RTT
353,Delhi,Faridabad,28.39104,77.27078,RTT
354,Delhi,Faridabad,28.34012,77.30228,RTT
355,Delhi,Faridabad,28.40964,77.30431,RTT
356,Delhi,Faridabad,28.40508,77.30242,RTT
357,Delhi,Faridabad,28.39258,77.30219,RTT
358,Delhi,Faridabad,28.38506,77.30105,RTT
359,Delhi,Faridabad,28.38018,77.31654,RTT
360,Delhi,Faridabad,28.46129,77.28543,RTT
361,Delhi,Faridabad,28.38823,77.28587,RTT
362,Delhi,Faridabad,28.38977,77.31827,RTT
363,Delhi,Faridabad,28.36131,77.33208,RTT
364,Delhi,Faridabad,28.49465,77.29708,RTT
365,Delhi,Faridabad,28.44869,77.31602,GBT
366,Delhi,Faridabad,28.34541,77.31706,GBT
367,Delhi,Faridabad,28.35467,77.29939,GBT
368,Delhi,Faridabad,28.42059,77.3418,GBT
369,Delhi,Faridabad,28.33454,77.30229,GBT
370,Delhi,Faridabad,28.41553,77.28502,GBT
371,Delhi,Faridabad,28.35103,77.28094,GBT
372,Delhi,Faridabad,28.32822,77.33387,GBT
373,Delhi,Faridabad,28.41245,77.40166,GBT
374,Delhi,Faridabad,28.39116,77.36127,GBT
375,Delhi,Faridabad,28.34713,77.32617,GBT
376,Delhi,Faridabad,28.25726,77.37125,GBT
377,Delhi,Faridabad,28.31987,77.28033,GBT
378,Delhi,Faridabad,28.33164,77.18989,GBT
379,Delhi,Faridabad,28.23464,77.2903,GBT
380,Delhi,Faridabad,28.30315,77.33354,GBT
381,Delhi,Faridabad,28.28473,77.34084,GBT
382,Delhi,Faridabad,28.30276,77.38722,GBT
383,Delhi,Faridabad,28.32564,77.23681,GBT
384,Delhi,Faridabad,28.41301,77.31979,GBT
385,Delhi,Faridabad,28.27169,77.2891,GBT
386,Delhi,Faridabad,28.37853,77.31024,RTP
387,Delhi,Faridabad,28.39816,77.31274,RTP
388,Delhi,Faridabad,28.36945,77.32851,RTP
389,Delhi,Faridabad,28.47457,77.31268,RTP
390,Delhi,Faridabad,28.49493,77.29092,RTP
391,Delhi,Faridabad,28.48978,77.28263,RTP
392,Delhi,Faridabad,28.39333,77.31398,RTT
393,Delhi,Faridabad,28.36361,77.32539,RTT
394,Delhi,Faridabad,28.40129,77.30241,RTT
395,Delhi,Faridabad,28.46409,77.30547,RTT
396,Delhi,Faridabad,28.42929,77.30749,RTT
397,Delhi,Faridabad,28.45782,77.30994,RTT
398,Delhi,Faridabad,28.39449,77.28707,RTT
399,Delhi,Faridabad,28.42202,77.31964,RTT
400,Delhi,Faridabad,28.38824,77.30265,RTT
401,Delhi,Faridabad,28.38153,77.3023,RTT
402,Delhi,Faridabad,28.39964,77.27773,RTT
403,Delhi,Faridabad,28.33725,77.32486,RTT
404,Delhi,Faridabad,28.37673,77.28261,RTT
405,Delhi,Faridabad,28.39431,77.3298,RTT
406,Delhi,Faridabad,28.41845,77.30171,RTT
407,Delhi,Faridabad,28.35624,77.32149,RTT
408,Delhi,Faridabad,28.36179,77.29661,RTT
409,Delhi,Faridabad,28.48011,77.31029,RTT
410,Delhi,Faridabad,28.35052,77.33555,RTT
411,Delhi,Faridabad,28.37268,77.31985,RTT
412,Delhi,Faridabad,28.40178,77.3224,RTT
413,Delhi,Faridabad,28.40612,77.2887,RTT
414,Delhi,Faridabad,28.46887,77.31301,RTT
415,Delhi,Faridabad,28.37937,77.29803,RTT
416,Delhi,Faridabad,28.44661,77.28198,RTT
417,Delhi,Faridabad,28.4113,77.31409,RTT
418,Delhi,Faridabad,28.47783,77.31483,RTT
419,Delhi,Faridabad,28.36411,77.30923,RTT
420,Delhi,Faridabad,28.39419,77.30534,RTT
421,Delhi,Faridabad,28.37074,77.28866,RTT
422,Delhi,Faridabad,28.37079,77.33224,RTT
423,Delhi,Faridabad,28.44488,77.3115,GBT
424,Delhi,Faridabad,28.38378,77.27644,GBT
425,Delhi,Faridabad,28.40161,77.37688,GBT
426,Delhi,Faridabad,28.3027,77.28596,GBT
427,Delhi,Faridabad,28.29641,77.29799,GBT
428,Delhi,Faridabad,28.35198,77.40084,GBT
429,Delhi,Faridabad,28.49331,77.29274,RTT
430,Delhi,Faridabad,28.3985,77.29925,RTT
431,Delhi,Faridabad,28.39521,77.32315,RTT
432,Delhi,Faridabad,28.36309,77.32399,RTT
433,Delhi,Faridabad,28.37624,77.32993,RTT
434,Delhi,Faridabad,28.43353,77.30859,RTT
435,Delhi,Faridabad,28.39349,77.28931,RTP
436,Delhi,Faridabad,28.42205,77.32023,RTT
437,Delhi,Faridabad,28.40462,77.29042,RTT
438,Delhi,Faridabad,28.35126,77.32938,RTT
439,Delhi,Faridabad,28.39815,77.2782,RTT
440,Delhi,Faridabad,28.38082,77.29177,RTT
441,Delhi,Faridabad,28.36709,77.28541,RTT
442,Delhi,Faridabad,28.41713,77.311,RTT
443,Delhi,Faridabad,28.42303,77.28858,RTT
444,Delhi,Faridabad,28.43107,77.29621,RTT
445,Delhi,Faridabad,28.37146,77.32236,RTT
446,Delhi,Faridabad,28.35762,77.3248,RTT
447,Delhi,Faridabad,28.3346,77.31634,RTT
448,Delhi,Faridabad,28.47379,77.32091,RTT
449,Delhi,Faridabad,28.4258,77.3245,RTP
450,Delhi,Faridabad,28.35784,77.29305,RTT
451,Delhi,Faridabad,28.47482,77.3062,RTT
452,Delhi,Faridabad,28.39566,77.30356,RTT
453,Delhi,Faridabad,28.34842,77.33612,RTT
454,Delhi,Faridabad,28.41754,77.2909,RTT
455,Delhi,Faridabad,28.38179,77.32751,RTT
456,Delhi,Faridabad,28.40155,77.30368,RTT
457,Delhi,Faridabad,28.37281,77.30309,RTT
458,Delhi,Faridabad,28.35082,77.28671,RTT
459,Delhi,Faridabad,28.4099,77.32962,RTT
460,Delhi,Faridabad,28.4255,77.2975,RTT
461,Delhi,Faridabad,28.42548,77.29748,RTP
462,Delhi,Faridabad,28.3979,77.31576,RTT
463,Delhi,Faridabad,28.34342,77.32835,RTT
464,Delhi,Faridabad,28.39392,77.33114,RTT
465,Delhi,Faridabad,28.39241,77.31042,RTT
466,Delhi,Faridabad,28.41957,77.32487,RTT
467,Delhi,Faridabad,28.48557,77.30718,RTT
468,Delhi,Faridabad,28.40069,77.33089,RTT
469,Delhi,Faridabad,28.41291,77.314601,RTT
470,Delhi,Faridabad,28.46284,77.26653,RTT
471,Delhi,Faridabad,28.46282,77.26653,RTP
472,Delhi,Faridabad,28.37953,77.24383,RTT
473,Delhi,Faridabad,28.30998,77.30451,RTT
474,Delhi,Faridabad,28.42319,77.31145,RTT
475,Delhi,Faridabad,28.47546,77.3138,RTT
476,Delhi,Faridabad,28.40132,77.29469,RTT
477,Delhi,Faridabad,28.40647,77.30457,RTP
478,Delhi,Faridabad,28.37942,77.30569,RTT
479,Delhi,Faridabad,28.40565,77.29291,RTT
480,Delhi,Faridabad,28.41219,77.29044,RTT
481,Delhi,Faridabad,28.33049,77.33164,RTT
482,Delhi,Faridabad,28.31298,77.37023,RTT
483,Delhi,Faridabad,28.36131,77.26431,RTT
484,Delhi,Faridabad,28.32557,77.29749,RTT
485,Delhi,Faridabad,28.39963,77.34216,RTT
486,Delhi,Faridabad,28.39846,77.29472,RTT
487,Delhi,Faridabad,28.34012,77.30217,RTT
488,Delhi,Faridabad,28.36221,77.29669,RTT
489,Delhi,Faridabad,28.37501,77.29836,RTT
